brand,model,price,avg_rating,battery,reviews,color,RAM,ROM,display_inches,user,price_bin
Poco,Poco f6 5g,23999.0,4.3,5000.0,7880,1,12.0,256.0,6.67,78800,20k-30k
Poco,Poco f7 5g,32999.0,4.4,7550.0,44898,3,12.0,384.0,6.830000000000001,448980,30k-40k
Poco,Poco m4 5g,10999.0,4.2,5000.0,56899,1,6.0,128.0,6.58,568990,10k-20k
Poco,Poco m5,14499.0,4.2,5000.0,21508,1,6.0,128.0,6.58,215080,10k-20k
Poco,Poco m6 plus 5g,12999.0,4.2,5030.0,87058,2,8.0,128.0,6.79,870580,10k-20k
Poco,Poco m6 pro 5g,13499.0,4.25,5000.0,112696,1,6.0,192.0,6.79,1126960,10k-20k
Poco,Poco m7 5g,9599.0,4.066666666666666,5160.0,165329,3,6.0,128.0,6.88,1653290,0-10k
Poco,Poco m7 pro 5g,13999.0,4.25,5110.0,78738,3,7.0,192.0,6.669999999999999,787380,10k-20k
Poco,Poco x6 5g,18899.0,4.3,5100.0,29120,1,8.0,256.0,6.67,291200,10k-20k
Poco,Poco x6 neo 5g,17999.0,4.2,5000.0,15335,1,12.0,256.0,6.67,153350,10k-20k
Poco,Poco x6 pro 5g,19879.0,4.3,5000.0,24559,1,8.0,256.0,6.67,245590,10k-20k
Poco,Poco x7 5g,18199.0,4.3,5500.0,75650,3,8.0,256.0,6.67,756500,10k-20k
Poco,Poco x7 pro 5g,24999.0,4.3500000000000005,6550.0,40995,3,10.0,256.0,6.669999999999999,409950,20k-30k
Realme,Realme 12+ 5g,14999.0,4.3,5000.0,40418,2,8.0,128.0,6.67,404180,10k-20k
Realme,Realme 13 pro+ 5g,24509.0,4.4,5200.0,56007,3,8.0,256.0,6.7,560070,20k-30k
Realme,Realme 14 pro 5g,25799.0,4.4,6000.0,53590,3,8.0,128.0,6.769999999999999,535900,20k-30k
Realme,Realme 14 pro lite 5g,21999.0,4.4,5200.0,980,2,8.0,192.0,6.7,9800,20k-30k
Realme,Realme 14 pro+ 5g,33749.0,4.4,6000.0,72676,3,10.0,256.0,6.83,726760,30k-40k
Realme,Realme 14t 5g,19332.333333333332,4.3,6000.0,4116,2,8.0,256.0,6.669999999999999,41160,10k-20k
Realme,Realme 14x 5g,15499.0,4.3,6000.0,54726,3,7.0,128.0,6.669999999999999,547260,10k-20k
Realme,Realme 15 5g,27570.428571428572,4.414285714285715,7000.0,10077,3,8.0,256.0,6.8,100770,20k-30k
Realme,Realme 15 pro 5g,34713.28571428572,4.357142857142857,7000.0,8225,2,8.0,256.0,6.8,82250,30k-40k
Realme,Realme c51,6999.0,4.3,5000.0,93509,1,4.0,64.0,6.74,935090,0-10k
Realme,Realme c61,7865.666666666667,4.366666666666667,5000.0,40807,2,4.0,64.0,6.745,408070,0-10k
Realme,Realme c63 5g,11499.0,4.45,5000.0,57698,2,6.0,128.0,6.67,576980,10k-20k
Realme,Realme c71,8699.0,4.3,6300.0,2054,2,6.0,128.0,6.75,20540,0-10k
Realme,Realme c73 5g,11499.0,4.3,6000.0,2172,3,4.0,128.0,6.669999999999999,21720,10k-20k
Realme,Realme c75 5g,13749.0,4.375,6000.0,3988,3,6.0,128.0,6.67,39880,10k-20k
Realme,Realme gt 6,31332.333333333332,4.5,5500.0,14528,2,16.0,512.0,6.78,145280,30k-40k
Realme,Realme narzo 70x 5g,14499.0,4.3,5000.0,3178,1,8.0,128.0,6.72,31780,10k-20k
Realme,Realme narzo 80 lite 4g,8258.75,4.4,6300.0,168,2,5.0,96.0,6.74,1680,0-10k
Realme,Realme narzo 80 lite 5g,11670.25,4.449999999999999,6000.0,792,2,5.0,128.0,6.67,7920,10k-20k
Realme,Realme narzo 80 pro 5g,19800.0,4.5,6000.0,835,2,8.0,128.0,6.723333333333334,8350,10k-20k
Realme,Realme narzo 80x 5g,12758.5,4.2,6000.0,3160,2,7.0,128.0,6.72,31600,10k-20k
Realme,Realme narzo n61,8337.5,4.25,5000.0,15334,3,5.0,96.0,6.74,153340,0-10k
Realme,Realme narzo n65 5g,12998.0,4.3,5000.0,6282,1,6.0,128.0,6.67,62820,10k-20k
Realme,Realme p1 5g,12360.0,4.4,5000.0,427196,3,6.0,128.0,6.67,4271960,10k-20k
Realme,Realme p1 speed 5g,16354.25,4.3,5000.0,9621,2,8.0,192.0,6.67,96210,10k-20k
Realme,Realme p2 pro 5g,20499.0,4.4,5200.0,75120,2,10.0,320.0,6.7,751200,20k-30k
Realme,Realme p3 5g,17374.0,4.4,6000.0,63848,3,8.0,128.0,6.67,638480,10k-20k
Realme,Realme p3 pro 5g,25124.0,4.4,6000.0,44320,3,8.0,256.0,6.83,443200,20k-30k
Realme,Realme p3 ultra 5g,26999.0,4.425000000000001,6000.0,45042,3,8.0,256.0,6.83,450420,20k-30k
Realme,Realme x3 superzoom,21999.0,4.2,4200.0,3192,1,12.0,256.0,6.57,31920,20k-30k
Redmi,Redmi 12 5g,12499.0,4.3,5000.0,65014,1,6.0,128.0,6.79,650140,10k-20k
Redmi,Redmi 13 5g,12854.444444444445,4.2,5030.0,261646,3,6.0,128.0,6.79,2616460,10k-20k
Redmi,Redmi 13 5g prime,12662.0,4.2,5030.0,16523,1,8.0,128.0,6.79,165230,10k-20k
Redmi,Redmi 13c,12330.666666666666,4.166666666666667,5000.0,52788,2,6.0,128.0,6.739999999999999,527880,10k-20k
Redmi,Redmi 13c 5g,10490.0,4.3,5000.0,45887,1,4.0,128.0,6.74,458870,10k-20k
Redmi,Redmi 14c 5g,10627.6,4.2,5160.0,75597,3,4.0,128.0,6.88,755970,10k-20k
Redmi,Redmi 5a,5999.0,4.5,3000.0,78439,1,2.0,16.0,5.0,784390,0-10k
Redmi,Redmi 9,8772.0,4.3,6000.0,491140,2,4.0,64.0,6.53,4911400,0-10k
Redmi,Redmi a3,7943.0,4.166666666666667,5000.0,10745,2,4.0,128.0,6.71,107450,0-10k
Redmi,Redmi a3x,6499.0,4.1,5000.0,72030,3,4.0,64.0,6.71,720300,0-10k
Redmi,Redmi a4,9869.5,4.4,5160.0,7793,2,5.0,128.0,6.88,77930,0-10k
